Year,Gender,Department,from_date,to_date,Active
1990,M,Marketing,1995-12-30,1998-12-29,0
1990,M,Marketing,1997-04-09,9999-01-01,0
1990,M,Marketing,1991-12-31,1997-12-29,0
1990,F,Marketing,1993-08-02,1998-08-01,0
1990,M,Marketing,1993-12-30,2000-12-28,0
1990,F,Marketing,1992-11-20,1997-11-19,0
1990,F,Marketing,1995-10-13,2000-10-11,0
1990,M,Marketing,1995-02-04,9999-01-01,0
1990,F,Marketing,1996-12-29,2002-12-28,0
1990,F,Marketing,1993-01-06,1999-01-05,0
1990,M,Marketing,1994-08-10,1999-08-09,0
1990,M,Marketing,1991-06-09,1999-06-07,0
1990,F,Marketing,1998-05-29,2000-05-27,0
1990,M,Marketing,1999-05-29,2000-05-27,0
1990,M,Finance,1991-12-31,1998-12-29,0
1990,F,Finance,1991-01-13,9999-01-01,0
1990,F,Finance,1993-12-30,1999-12-29,0
1990,F,Finance,1995-08-02,2000-07-31,0
1990,M,Finance,1995-12-30,2002-12-28,0
1990,M,Finance,1994-11-20,1999-11-19,0
1990,M,Finance,1997-10-12,2002-10-11,0
1990,M,Finance,1997-02-03,9999-01-01,0
1990,M,Finance,1998-12-29,2004-12-27,0
1990,F,Finance,1995-01-06,2001-01-04,0
1990,M,Finance,1996-08-09,2001-08-08,0
1990,M,Finance,1993-06-08,2001-06-06,0
1990,M,Finance,1993-12-30,2000-12-28,0
1990,M,Finance,1999-05-29,2000-05-27,0
1990,M,Finance,2000-05-29,9999-01-01,0
1990,F,"Human Resources",1990-12-31,1996-12-29,1
1990,F,"Human Resources",1992-08-02,1997-08-01,0
1990,M,"Human Resources",1994-11-25,2001-11-23,0
1990,M,"Human Resources",1993-10-16,1998-10-15,0
1990,M,"Human Resources",1996-09-07,2001-09-06,0
1990,M,"Human Resources",1995-12-31,9999-01-01,0
1990,M,"Human Resources",1997-11-24,2003-11-23,0
1990,F,"Human Resources",1993-12-02,1999-12-01,0
1990,M,"Human Resources",1995-07-06,2000-07-04,0
1990,F,"Human Resources",1992-05-04,2000-05-02,0
1990,M,"Human Resources",1992-10-01,2000-09-29,0
1990,F,"Human Resources",1994-05-15,2000-05-27,0
1990,M,"Human Resources",1997-05-29,2000-05-27,0
1990,F,"Human Resources",2000-05-29,9999-01-01,0
1990,F,Production,1992-12-30,1999-12-29,0
1990,F,Production,1991-11-21,1996-11-19,0
1990,M,Production,1994-10-13,1999-10-12,0
1990,M,Production,1994-02-04,9999-01-01,0
1990,M,Production,1991-01-30,1996-06-07,0
1990,M,Production,1990-03-11,1993-07-18,1
1990,M,Production,1991-03-23,1996-03-21,0
1990,M,Production,1990-07-15,1992-02-11,1
1990,M,Production,1992-12-30,2001-12-28,0
1990,M,Production,1993-04-25,1998-10-18,0
1990,M,Production,1993-03-30,1998-03-29,0
1990,M,Production,1996-02-20,2001-02-18,0
1990,F,Production,1995-06-14,2004-12-27,0
1990,M,Production,1998-05-29,2000-05-27,0
1990,M,Development,1991-12-31,2000-12-28,0
1990,F,Development,1992-04-25,1997-10-18,0
1990,M,Development,1990-01-05,2003-08-20,1
1990,M,Development,1994-10-03,1998-10-02,0
1990,F,Development,1997-04-07,2001-04-06,0
1990,M,Development,1999-02-28,9999-01-01,0
1990,M,Development,1993-02-20,1998-02-19,0
1990,M,Development,1992-06-14,1994-01-11,0
1990,F,Development,1994-11-30,2003-11-28,0
1990,F,Development,1995-03-26,2000-09-17,0
1990,M,Development,1995-02-28,2000-02-27,0
1990,F,Development,1992-01-29,1996-09-27,0
1990,F,Development,1999-03-12,2000-01-21,0
1990,F,Development,1998-05-29,9999-01-01,0
1990,F,"Quality Management",1995-12-30,2001-12-28,0
1990,F,"Quality Management",1992-01-07,1998-01-05,0
1990,F,"Quality Management",1993-08-10,1998-08-09,0
1990,M,"Quality Management",1990-06-09,1998-06-07,1
1990,M,"Quality Management",1994-05-14,2000-05-12,0
1990,F,"Quality Management",1993-05-12,1998-05-11,0
1990,M,"Quality Management",1991-03-04,1996-03-02,0
1990,M,"Quality Management",1990-06-27,1995-06-26,1
1990,F,"Quality Management",1996-12-29,2002-12-28,0
1990,F,"Quality Management",1993-01-06,1999-01-05,0
1990,F,"Quality Management",1994-08-10,1999-08-09,0
1990,M,"Quality Management",1991-06-09,1999-06-07,0
1990,M,"Quality Management",1995-05-14,2001-05-12,0
1990,M,"Quality Management",1994-05-12,1999-05-11,0
1990,F,"Quality Management",1992-03-03,1997-03-02,0
1990,M,"Quality Management",1990-06-18,1994-12-23,1
1990,M,"Quality Management",1993-05-17,1998-05-16,0
1990,M,"Quality Management",1994-12-30,2000-12-28,0
1990,M,"Quality Management",1998-05-29,2000-11-27,0
1990,M,Sales,1992-12-30,1998-12-29,0
1990,M,Sales,1991-12-29,1996-12-27,0
1990,M,Sales,1992-06-13,1998-06-12,0
1990,M,Sales,1994-01-14,1999-01-13,0
1990,M,Sales,1994-06-13,2001-06-11,0
1990,M,Sales,1993-05-04,1998-05-03,0
1990,M,Sales,1996-03-26,2001-03-25,0
1990,M,Sales,1995-07-19,9997-06-15,0
1990,F,Sales,1997-06-12,2003-06-11,0
1990,F,Sales,1993-06-20,1999-06-19,0
1990,M,Sales,1995-01-22,2000-01-21,0
1990,F,Sales,1991-11-21,1999-11-19,0
1990,M,Sales,1992-06-13,1999-06-12,0
1990,M,Sales,1990-01-05,1995-06-13,1
1990,M,Sales,1991-01-15,1996-01-14,0
1990,F,Sales,1995-10-06,2001-10-04,0
1990,M,Sales,1991-10-14,1997-10-12,0
1990,M,Sales,1999-05-29,2000-05-27,0
1990,F,Sales,2000-05-29,2005-04-27,0
1990,M,Research,1990-03-11,1999-12-29,1
1990,F,Research,1991-01-30,1999-01-28,0
1990,F,Research,1996-06-12,1999-06-12,0
1990,M,Research,1997-09-21,9999-06-15,0
1990,M,Research,1992-06-13,1998-06-12,0
1990,M,Research,1994-01-14,1999-01-13,0
1990,F,Research,1994-06-13,2001-06-11,0
1990,F,Research,1993-05-04,1998-05-03,0
1990,M,Research,1996-03-26,2001-03-25,0
1990,M,Research,1995-07-19,9999-06-15,0
1990,M,Research,1997-06-12,2003-06-11,0
1990,M,Research,1993-06-20,1999-06-19,0
1990,F,Research,1999-05-29,9999-01-01,0
1990,F,"Customer Service",1991-05-20,2001-12-28,0
1990,F,"Customer Service",1993-02-10,1997-02-09,0
1990,F,"Customer Service",1995-08-16,1999-08-15,0
1990,M,"Customer Service",1997-07-08,9999-01-01,0
1990,M,"Customer Service",1996-09-20,2002-09-19,0
1990,M,"Customer Service",1992-09-28,1998-09-27,0
1990,F,"Customer Service",1994-05-02,1999-05-01,0
1990,M,"Customer Service",1991-03-01,1999-02-27,0
1990,F,"Customer Service",1995-02-03,2001-02-01,0
1990,F,"Customer Service",1994-02-01,1999-01-31,0
1990,M,"Customer Service",1995-02-01,2000-01-31,0
1990,M,"Customer Service",1996-02-01,2001-01-30,0
1990,F,"Customer Service",1997-01-31,2002-01-30,0
1990,M,"Customer Service",1992-01-22,1998-01-20,0
1990,F,"Customer Service",1993-08-25,1998-08-24,0
1990,F,"Customer Service",1990-06-24,1998-06-22,1
1990,M,"Customer Service",1994-05-29,2000-05-27,0
1990,M,"Customer Service",1998-05-29,2000-06-23,0
1990,F,"Customer Service",1999-05-29,2000-06-27,0
1990,F,"Customer Service",1999-05-29,2002-01-22,0
1990,F,"Customer Service",2000-05-29,2008-10-14,0
