Unnamed: 0,County,List Price,Style,Beds,Bathrooms Full,Bathrooms Half,Levels/Stories,Fireplaces Total,Basement YN,Lot Size SqFt,Year Built,Close Date,Close Price,Concessions Amt ,Subdivision/Neighborhood,Status
1,Anne Arundel County,"$305,000 ",Cape Cod,3,3,,2,,Yes,6950,1956,9/21/2021,,,,
2,Montgomery County,"$309,000 ",Cape Cod,2,1,,2,,Yes,5887,1946,7/23/2021,,,,
3,Anne Arundel County,"$310,000 ",Ranch/Rambler,4,1,,2,,Yes,9975,1957,7/14/2021,,,,
4,Anne Arundel County,"$315,000 ",Cape Cod,4,1,,3,,Yes,12635,1956,9/21/2021,,,,
5,Anne Arundel County,"$315,000 ",Split Level,4,1,1,3,1,No,7226,1964,9/21/2021,,,,
6,Carroll County,"$319,000 ",Ranch/Rambler,4,3,,2,1,Yes,43472,1965,6/30/2021,,,,
7,Anne Arundel County,"$320,000 ",Ranch/Rambler,4,2,,2,,Yes,14810,1962,9/21/2021,,,,
8,Montgomery County,"$320,000 ","Cape Cod, Cottage",3,2,,3,,Yes,12178,1950,7/19/2021,,,,
9,Anne Arundel County,"$325,000 ",Split Foyer,3,2,,2,,Yes,7000,1984,9/21/2021,,,,
10,Anne Arundel County,"$325,000 ",Ranch/Rambler,3,2,,2,,Yes,9600,1950,9/21/2021,,,,
11,Montgomery County,"$325,000 ",Ranch/Rambler,3,1,,1,,No,8459,1954,9/21/2021,,,,
12,Anne Arundel County,"$325,000 ",Ranch/Rambler,3,2,,2,1,Yes,8712,1964,9/21/2021,,,,
13,Howard County,"$325,000 ",Ranch/Rambler,3,1,0,1,1,No,9801,1976,9/21/2021,,,,
14,Anne Arundel County,"$325,000 ",Cape Cod,3,2,,3,,Yes,13068,1950,7/7/2021,,,,
15,Anne Arundel County,"$327,500 ",Split Foyer,3,2,,2,1,Yes,14908,1968,9/21/2021,,,,
16,Howard County,"$329,900 ",Colonial,3,2,1,2,,Yes,4402,1998,9/21/2021,,,,
17,Howard County,"$329,900 ","Farmhouse/National Folk, Victorian",5,2,,2,,Yes,43560,1890,9/21/2021,,,,
18,Montgomery County,"$329,999 ",Ranch/Rambler,3,1,,2,1,Yes,18571,1954,8/31/2021,,,,
19,Carroll County,"$330,000 ",Colonial,3,1,,2,,Yes,17424,1900,9/21/2021,,,,
20,Howard County,"$330,000 ",Ranch/Rambler,2,1,,2,1,Yes,26528,1982,6/29/2021,,,,
21,Carroll County,"$339,900 ",Ranch/Rambler,3,2,,2,,Yes,20000,1962,9/21/2021,,,,
22,Anne Arundel County,"$340,000 ",Raised Ranch/Rambler,3,1,,2,,Yes,7440,1972,9/21/2021,,,,
23,Anne Arundel County,"$340,000 ",Traditional,4,1,1,2,1,Yes,11000,1972,9/21/2021,,,,
24,Montgomery County,"$349,000 ",Split Foyer,4,3,,2,,Yes,6906,1958,6/29/2021,,,,
25,Anne Arundel County,"$349,900 ",Traditional,4,1,1,3,,No,12000,1956,9/21/2021,,,,
26,Anne Arundel County,"$349,900 ",Split Level,3,1,1,3,1,Yes,6900,1956,7/14/2021,,,,
27,Howard County,"$350,000 ",Contemporary,3,2,1,4,1,Yes,2990,1977,9/21/2021,,,,
28,Howard County,"$350,000 ",Ranch/Rambler,3,1,,1,,No,93698,1984,9/21/2021,,,,
29,Howard County,"$350,000 ",Ranch/Rambler,3,2,1,2,1,Yes,128502,1962,9/21/2021,,,,
30,Harford County,"$350,000 ",Ranch/Rambler,3,1,,1,,No,40075,1950,6/25/2021,,,,
31,Anne Arundel County,"$355,000 ",Ranch/Rambler,2,2,,1,,No,16553,1950,7/22/2021,,,,
32,Prince George's County,"$357,000 ",Ranch/Rambler,3,1,1,1.5,,Yes,20090,1956,9/21/2021,,,,
33,Anne Arundel County,"$359,900 ",Traditional,4,2,,3,1,Yes,7020,1940,9/21/2021,,,,
34,Anne Arundel County,"$359,900 ",Colonial,3,2,1,3,1,Yes,14130,1959,7/16/2021,,,,
35,Montgomery County,"$359,999 ",Traditional,3,1,1,1,1,Yes,11374,1954,9/21/2021,,,,
36,Anne Arundel County,"$360,000 ",Ranch/Rambler,3,2,1,2,1,Yes,8712,1963,10/29/2021,,,,
37,Montgomery County,"$360,000 ",Colonial,2,1,,2,,Yes,95832,1878,7/8/2021,,,,
38,Anne Arundel County,"$364,900 ",Ranch/Rambler,4,2,,2,1,Yes,6900,1964,9/21/2021,,,,
39,Prince George's County,"$365,000 ",Ranch/Rambler,4,2,,1,,No,7144,1951,9/21/2021,,,,
40,Anne Arundel County,"$365,000 ",Colonial,4,3,,4,1,Yes,5000,1921,9/21/2021,,,,
41,Montgomery County,"$368,500 ",Cape Cod,5,3,,3,1,Yes,6655,1953,9/21/2021,,,,
42,Anne Arundel County,"$369,000 ",Ranch/Rambler,4,2,1,1,,Yes,8700,1961,6/30/2021,,,,
43,Anne Arundel County,"$369,900 ",Split Foyer,3,1,2,2,,Yes,6383,1973,9/21/2021,,,,
44,Carroll County,"$369,963 ",Colonial,4,2,,2.5,,No,22041,1940,9/21/2021,,,,
45,Anne Arundel County,"$369,999 ",Raised Ranch/Rambler,5,2,,2,,Yes,8190,1976,9/21/2021,,,,
46,Anne Arundel County,"$370,000 ",Ranch/Rambler,2,1,,1,1,No,20000,1956,9/21/2021,,,,
