Status,Listing ID,Full Street Address,List Price,Subdivision/Neighborhood,Style,Structure Type,Beds,Bathrooms Full,Bathrooms Half,Levels/Stories,Fireplaces Total,Basement YN,Lot Size SqFt,Year Built,DOM,CDOM,Close Date,Close Price,Concessions Amt 
Coming Soon,MDAA2001274,608 Rosello Pl,"$300,000 ",AA COUNTY,Split Foyer,Detached,3,1,1,2,,Yes,5040,1986,0,0,,,
Coming Soon,MDAA2000430,115 Sunlight Cir,"$325,000 ",MAPLE GLEN ESTATES,Split Foyer,Detached,3,2,,2,,Yes,7000,1984,0,0,,,
Coming Soon,MDAA2001514,115 Dinsmore Ave,"$325,000 ",WELLHAM HEIGHTS,Ranch/Rambler,Detached,3,2,,2,,Yes,9600,1950,0,0,,,
Coming Soon,MDHW2000714,6337 Bright Plume,"$350,000 ",HICKORY RIDGE,Contemporary,Detached,3,2,1,4,1,Yes,2990,1977,0,0,,,
Coming Soon,MDAA471934,3332 Sudlersville S,"$364,900 ",MARYLAND CITY,Ranch/Rambler,Detached,4,2,,2,1,Yes,6900,1964,0,0,,,
Coming Soon,MDAA470510,707 Glenview Ave,"$368,500 ",WILLOWDALE,Cape Cod,Detached,5,3,,3,1,Yes,6655,1953,0,0,,,
Coming Soon,MDAA2001366,609 Minnerva Rd,"$375,000 ",GLEN BURNIE PARK,Split Level,Detached,3,2,,4,,Yes,6826,1957,0,0,,,
Coming Soon,MDAA471956,1303 Damascus St,"$399,900 ",ODENTON GARDENS,Cape Cod,Detached,3,2,,2,,No,11441,1955,0,0,,,
Coming Soon,MDCR2000154,6102 Oak Hill Dr,"$399,999 ",FREEDOM FOREST,Ranch/Rambler,Detached,3,2,1,2,1,Yes,18730,1967,0,0,,,
Coming Soon,MDMC763568,20401 Bloomingville Ct,"$419,000 ",CHADSWOOD,Split Level,Detached,4,2,,3,1,Yes,5229,1985,0,0,,,
Coming Soon,MDCR2000410,7086 Melstone Valley Way,"$425,000 ",MELSTONE VALLEY,Contemporary,Detached,3,2,1,2,,No,8466,1994,0,0,,,
Coming Soon,MDPG609484,6404 Darwin Rd,"$425,000 ",SANDY SPRING ESTATES,Split Level,Detached,3,3,,3,1,Yes,10000,1976,0,0,,,
Coming Soon,MDPG608826,8708 Lindendale Dr,"$439,999 ",OAK CREST,Split Foyer,Detached,5,2,1,2,,Yes,11000,1987,0,0,,,
Coming Soon,MDMC2002488,8536 Calypso Ln,"$449,990 ",FLOWER HILL,Split Foyer,Detached,3,2,1,2,1,Yes,7461,1983,0,0,,,
Coming Soon,MDMC758642,2618 Cory Ter,"$449,999 ",KINGSWELL,Ranch/Rambler,Detached,3,2,,2,1,Yes,6308,1958,0,0,,,
Coming Soon,MDHW2000134,9437 Glen Ridge Dr,"$450,000 ",NORTH RIDGE,Colonial,Detached,3,2,1,3,,Yes,6011,1985,0,0,,,
Coming Soon,MDAA472090,10 Raylene,"$450,000 ",WICKLOW WOODS,Split Foyer,Detached,5,3,1,2,1,Yes,7182,1992,0,0,,,
Coming Soon,MDMC2001616,4423 Faroe Pl,"$469,000 ",WHEATON WOODS,Raised Ranch/Rambler,Detached,3,2,,2,,Yes,10939,1952,0,0,,,
Coming Soon,MDMC2001486,106 Rolling Rd,"$475,000 ",DEER PARK,Ranch/Rambler,Detached,3,2,,2,1,Yes,10800,1956,0,0,,,
Coming Soon,MDPG2000564,6714 Orem Dr,"$475,000 ",ROCKY GORGE ESTATES,Ranch/Rambler,Detached,3,2,1,2,,Yes,40401,1959,0,0,,,
Coming Soon,MDHW2000776,6466 Skyward Ct,"$475,000 ",VILLAGE OF OWEN BROWN,Colonial,Detached,4,2,1,2,,Yes,14723,1977,0,0,,,
Coming Soon,MDCR2000378,1690 Amberly Ct N,"$475,000 ",AMBERLY,Colonial,Detached,4,2,1,3,1,Yes,9801,1993,0,0,,,
Coming Soon,MDMC2000496,17813 Tree Lawn Dr,"$479,000 ",NONE AVAILABLE,Colonial,Detached,4,2,1,3,1,Yes,29787,1966,0,0,,,
Coming Soon,MDHW2000556,8305 Jumping Field Ct,"$485,000 ",MONTGOMERY MEADOWS,Bi-Level,Detached,4,2,1,2,,Yes,14501,1991,0,0,,,
Coming Soon,MDHW2000528,5022 Durham Rd W,"$489,900 ",BEAVERBROOK,Split Foyer,Detached,3,2,1,2,1,Yes,29010,1967,0,0,,,
Coming Soon,MDMC2002340,1206 Thornden Rd,"$499,900 ",ROCKLAND,Ranch/Rambler,Detached,3,1,,2,,Yes,10757,1954,0,0,,,
Coming Soon,MDMC764080,3309 Glenway Dr,"$500,000 ",KENSINGTON HEIGHTS,Split Level,Detached,3,2,,3,,Yes,6966,1961,0,0,,,
Coming Soon,MDMC2002124,20417 Watkins Meadow Dr,"$500,450 ",WATKINS MEADOWS,Colonial,Detached,4,3,1,2,1,Yes,10206,1986,0,0,,,
Coming Soon,MDMC764214,13200 Ewood Ln,"$519,900 ",WHEATON OUT RES. (2),Split Level,Detached,3,2,1,4,1,Yes,10500,1984,0,0,,,
Coming Soon,MDHW2000424,2633 Melba Rd,"$525,000 ",ORCHARD VIEW,Split Foyer,Detached,3,3,,3,1,Yes,21475,1965,0,0,,,
Coming Soon,MDHW2000744,9410 Guilford Rd,"$525,000 ",COLUMBIA,Ranch/Rambler,Detached,4,3,1,3,,No,9447,2000,0,0,,,
Coming Soon,MDCR205046,6528 Freedom Ave,"$525,000 ",SYKESVILLE/ELDERSBURG,Colonial,Detached,4,2,1,3.5,,Yes,32234,2019,0,0,,,
Coming Soon,MDHW2000650,9302 Many Flower Ln,"$529,900 ",KINGS CONTRIVANCE,Colonial,Detached,5,3,1,3,1,Yes,17990,1988,0,0,,,
Coming Soon,MDHW2000728,6230 Mill River Ct,"$535,000 ",MILL RIVER,Colonial,Detached,3,2,1,3,1,Yes,10241,2013,0,0,,,
Coming Soon,MDHW296414,9465 Single Bird Ln,"$539,900 ",VILLAGE OF KINGS CONTRIVANCE,"Bi-Level, Raised Ranch/Rambler, Split Level",Detached,4,3,,3,1,Yes,10900,1979,0,0,,,
Coming Soon,MDAA2001074,1239 Reece Rd,"$549,900 ",NONE AVAILABLE,Ranch/Rambler,Detached,5,3,1,1,1,Yes,38333,1955,0,0,,,
Coming Soon,MDCR205440,6123 Old Washington Rd,"$549,900 ",BERRETT,Colonial,Detached,4,3,1,3,1,Yes,36559,1900,0,0,,,
Coming Soon,MDHW2000540,4686 Dower Dr,"$550,000 ",MEADOWBROOK,Colonial,Detached,5,2,1,3,0,Yes,20037.6,1980,0,0,,,
Coming Soon,MDAA2000554,7861 Crossbay Dr,"$550,000 ",SEVERN,Colonial,Detached,4,2,1,3,1,Yes,8824,1992,0,0,,,
Coming Soon,MDMC2000520,325 Lincoln Ave,"$550,000 ",LINCOLN PARK,Cape Cod,Detached,4,2,1,3,,Yes,9000,2002,0,0,,,
Coming Soon,MDMC2000490,10902 Cavalier Dr,"$559,900 ",FOREST KNOLLS,Colonial,Detached,4,2,2,2,,Yes,7201,1964,0,0,,,
Coming Soon,MDHW294326,10806 Hilltop Ln,"$560,000 ",CEDAR ACRES,Colonial,Detached,4,2,1,3,1,Yes,12545,1988,0,0,,,
Coming Soon,MDHW2000618,4964 Brampton Pkwy,"$575,000 ",BRAMPTON HILLS,Colonial,Detached,4,2,1,3,1,Yes,15198,1991,0,0,,,
Coming Soon,MDHW2000600,7203 Single Wheel Path,"$575,000 ",VILLAGE OF KINGS CONTRIVANCE,Colonial,Detached,4,2,1,2,1,Yes,7762,1985,0,0,,,
Coming Soon,MDMC2001644,20005 Doolittle St,"$575,000 ",FAIRIDGE,Traditional,Detached,4,3,1,4,1,Yes,11724,1974,0,0,,,
Coming Soon,MDMC2001392,19209 Jericho Dr,"$585,000 ",SENECA WHETSTONE,Colonial,Detached,4,3,1,3,1,Yes,11420,1979,0,0,,,
