,Status,County,List Price,Subdivision/Neighborhood,Style,Beds,Bathrooms Full,Bathrooms Half,Levels/Stories,Fireplaces Total,Basement YN,Lot Size SqFt,Year Built,Close Date,Close Price,Concessions Amt 
0,Coming Soon,Anne Arundel County,"$300,000 ",AA COUNTY,Split Foyer,3,1,1.0,2.0,,Yes,5040.0,1986,,,
1,Coming Soon,Anne Arundel County,"$325,000 ",MAPLE GLEN ESTATES,Split Foyer,3,2,,2.0,,Yes,7000.0,1984,,,
2,Coming Soon,Anne Arundel County,"$325,000 ",WELLHAM HEIGHTS,Ranch/Rambler,3,2,,2.0,,Yes,9600.0,1950,,,
3,Coming Soon,Howard County,"$350,000 ",HICKORY RIDGE,Contemporary,3,2,1.0,4.0,1.0,Yes,2990.0,1977,,,
4,Coming Soon,Anne Arundel County,"$364,900 ",MARYLAND CITY,Ranch/Rambler,4,2,,2.0,1.0,Yes,6900.0,1964,,,
5,Coming Soon,Montgomery County,"$368,500 ",WILLOWDALE,Cape Cod,5,3,,3.0,1.0,Yes,6655.0,1953,,,
6,Coming Soon,,"$375,000 ",GLEN BURNIE PARK,Split Level,3,2,,4.0,,Yes,6826.0,1957,,,
7,Coming Soon,Anne Arundel County,"$399,900 ",ODENTON GARDENS,Cape Cod,3,2,,2.0,,No,11441.0,1955,,,
8,Coming Soon,Carroll County,"$399,999 ",FREEDOM FOREST,Ranch/Rambler,3,2,1.0,2.0,1.0,Yes,18730.0,1967,,,
9,Coming Soon,Montgomery County,"$419,000 ",CHADSWOOD,Split Level,4,2,,3.0,1.0,Yes,5229.0,1985,,,
10,Coming Soon,Carroll County,"$425,000 ",MELSTONE VALLEY,Contemporary,3,2,1.0,2.0,,No,8466.0,1994,,,
11,Coming Soon,Prince George's County,"$425,000 ",SANDY SPRING ESTATES,Split Level,3,3,,3.0,1.0,Yes,10000.0,1976,,,
12,Coming Soon,Prince George's County,"$439,999 ",OAK CREST,Split Foyer,5,2,1.0,2.0,,Yes,11000.0,1987,,,
13,Coming Soon,Montgomery County,"$449,990 ",FLOWER HILL,Split Foyer,3,2,1.0,2.0,1.0,Yes,7461.0,1983,,,
14,Coming Soon,Montgomery County,"$449,999 ",KINGSWELL,Ranch/Rambler,3,2,,2.0,1.0,Yes,6308.0,1958,,,
15,Coming Soon,Howard County,"$450,000 ",NORTH RIDGE,Colonial,3,2,1.0,3.0,,Yes,6011.0,1985,,,
16,Coming Soon,Anne Arundel County,"$450,000 ",WICKLOW WOODS,Split Foyer,5,3,1.0,2.0,1.0,Yes,7182.0,1992,,,
17,Coming Soon,Montgomery County,"$469,000 ",WHEATON WOODS,Raised Ranch/Rambler,3,2,,2.0,,Yes,10939.0,1952,,,
18,Coming Soon,Montgomery County,"$475,000 ",DEER PARK,Ranch/Rambler,3,2,,2.0,1.0,Yes,10800.0,1956,,,
19,Coming Soon,Prince George's County,"$475,000 ",ROCKY GORGE ESTATES,Ranch/Rambler,3,2,1.0,2.0,,Yes,40401.0,1959,,,
20,Coming Soon,Howard County,"$475,000 ",VILLAGE OF OWEN BROWN,Colonial,4,2,1.0,2.0,,Yes,14723.0,1977,,,
21,Coming Soon,Carroll County,"$475,000 ",AMBERLY,Colonial,4,2,1.0,3.0,1.0,Yes,9801.0,1993,,,
22,Coming Soon,Montgomery County,"$479,000 ",NONE AVAILABLE,Colonial,4,2,1.0,3.0,1.0,Yes,29787.0,1966,,,
23,Coming Soon,Howard County,"$485,000 ",MONTGOMERY MEADOWS,Bi-Level,4,2,1.0,2.0,,Yes,14501.0,1991,,,
24,Coming Soon,Howard County,"$489,900 ",BEAVERBROOK,Split Foyer,3,2,1.0,2.0,1.0,Yes,29010.0,1967,,,
25,Coming Soon,Montgomery County,"$499,900 ",ROCKLAND,Ranch/Rambler,3,1,,2.0,,Yes,10757.0,1954,,,
26,Coming Soon,Montgomery County,"$500,000 ",KENSINGTON HEIGHTS,Split Level,3,2,,3.0,,Yes,6966.0,1961,,,
27,Coming Soon,Montgomery County,"$500,450 ",WATKINS MEADOWS,Colonial,4,3,1.0,2.0,1.0,Yes,10206.0,1986,,,
28,Coming Soon,Montgomery County,"$519,900 ",WHEATON OUT RES. (2),Split Level,3,2,1.0,4.0,1.0,Yes,10500.0,1984,,,
29,Coming Soon,Howard County,"$525,000 ",ORCHARD VIEW,Split Foyer,3,3,,3.0,1.0,Yes,21475.0,1965,,,
